name,platform,profile_url,channel_url,creator_or_business,niche,country,city,subscribers,avg_views,business_email,instagram,linkedin,twitter_x,website,recent_upload,contact_type,lead_source,status,notes
GTR: Guiding Tech Reviews,YouTube,,https://www.youtube.com/channel/UCZG1P3JEmuuzC_MS6KiploA,creator,tech/gadgets,India,,21500,,,,,,,2026-09-23,public,youtube,new,Public creator lead
Indian Tech Tube,YouTube,https://www.youtube.com/@indiantechtube,https://www.youtube.com/@indiantechtube,creator,tech/gadgets,India,,20300,,,,,,,2026-09-23,public,youtube,new,Public creator lead
The True Computer,YouTube,https://www.youtube.com/@thetruecomputer,https://www.youtube.com/@thetruecomputer,creator,tech/computer,India,,25200,208,,,,,,2026-09-23,public,youtube,new,Public creator lead
